chunk_id,file,label,start_s,end_s,duration_s,vo_texts,sfx_cues,transition_in,transition_out
1,01_Opening_Soul__00-02_5.md,Opening Soul,0.0,2.5,2.5,"Imagine if your neighbourhood wasn’t just buildings and doors…","porch_chime_faint@0.2","fade_up","whoosh_line_morph@0.3"
2,02_Vignette_Badminton__02_5-05.md,Vignette — Badminton,2.5,5.0,2.5,"Both want a game… | …but end up playing badminton with themselves.","shuttle_thwack@0.6; shuttle_plop@1.8","cross_dissolve@0.25","shuttle_to_avatar_phone_morph@0.3"
3,03_Vignette_Commute__05-07_5.md,Vignette — Commute,5.0,7.5,2.5,"They even drive to the same office. Alone. | Wasting time, wasting money.","car_engine_low@0.3; coin_ting@1.9","cross_dissolve@0.25","dashboard_to_connect_button_morph@0.3"
4,04_Vignette_Yoga__07_5-10.md,Vignette — Yoga,7.5,10.0,2.5,"Together, they could stretch… | Instead… they sit apart.","yoga_oom@0.6","cross_dissolve@0.25","yoga_mat_wipe_to_activities@0.3"
5,05_Vignette_Cricket__10-12_5.md,Vignette — Cricket,10.0,12.5,2.5,"Looking for a team… | No one to play with.","stadium_ambience_faint@0.6","cross_dissolve@0.25","tv_frame_to_event_card_morph@0.3"
6,06_Product_Connect__12_5-17_5.md,Product — Connect,12.5,17.5,5.0,"Nikatam connects neighbours instantly — through shared interests.","ui_tap_soft@26.0; tag_pop@26.1","tv_to_phone_morph@0.25","match_cut_avatar_to_live_then_swipe_to_feed@0.3"
7,07_Live_Connect_Badminton__17_5-20.md,Live — Connect (Badminton),17.5,20.0,2.5,"","shuttle_thwack@0.6","match_cut_from_avatar@0.25","swipe_to_feed@0.3"
8,08_Product_Activities_Feed__20-24.md,Product — Activities & Feed,20.0,24.0,4.0,"From daily yoga sessions… to one-time cricket matches.","swipe_whoosh@30.2; soft_ding@32.2","swipe@0.25","card_flip@0.3"
9,09_Live_Yoga_Together__24-27.md,Live — Yoga Together,24.0,27.0,3.0,"","birds_soft@0.6","match_cut_from_activities_card@0.25","swipe_back_to_phone@0.3"
10,10_Product_Events_FAST__27-29.md,Product — Events (FAST),27.0,29.0,2.0,"Join local events.","ui_tap_soft@0.8; confirm_chime@1.4","card_flip@0.25","cut_to_live_cricket@0.2"
11,11_Live_Cricket_Highlight__29-31.md,Live — Cricket Highlight,29.0,31.0,2.0,"","cricket_bat_ball_thwack@0.5; crowd_cheer_light@1.8","cut_from_events_fast@0.1","cut_back_to_phone_or_flash@0.2"
12,12_Problem_MicroBusiness_NoHyperlocal__31-32_5.md,Problem — Micro‑Business,31.0,32.5,1.5,"","room_tone_subtle@0.2","cut@0.1","signage_to_business_card_morph@0.25"
13,13_Product_Businesses__32_5-35.md,Product — Businesses,32.5,35.0,2.5,"Even hyperlocal businesses get seen.","soft_slide@0.5; confirm_chime@1.2","signage_to_business_card_morph@0.25","flash_strip_in@0.25"
14,14_Product_Flash_MicroFeatures__35-38_5.md,Product — Flash Micro‑Features,35.0,38.5,3.5,"…and everything else that makes a neighbourhood… neighbourly.","alert_soft@36.7; pin_tock@37.6; paper_rustle@38.4","flash_strip@0.25","phone_slide_to_live_bleed@0.3"
15,15_Montage_Kids_Playdate__38_5-41.md,Montage — Kids Playdate,38.5,41.0,2.5,"Smiling kids, playing together.","kids_giggle_soft@40.3","color_bleed@0.2","dissolve@0.3"
16,16_Montage_Elders_Walk__41-43_5.md,Montage — Elders Walk,41.0,43.5,2.5,"Elders walking side by side…","footsteps_soft@42.8; birds_ambience@42.9","dissolve@0.2","straight_cut@0.1"
17,17_Montage_Connections_Burst__43_5-46.md,Montage — Connections Burst,43.5,46.0,2.5,"","whoosh_soft@0.4; ui_pop_soft@1.2","straight_cut@0.1","dissolve_to_micro_wins@0.2"
18,18_Montage_MicroWins__46-49_5.md,Montage — Micro‑Wins,46.0,49.5,3.5,"Sharing skills, services, small joys.","bell_ding_soft@48.4; bell_ding_soft@49.6; bell_ding_soft@50.8","cross_dissolve@0.2","dissolve@0.3"
19,19_Montage_Neighborhood_Wide__49_5-52_5.md,Montage — Alive Neighborhood Wide,49.5,52.5,3.5,"A community that feels like family again.","ambient_chatter_soft@51.7; breeze_soft@52.6","dissolve@0.2","straight_cut@0.1"
20,20_Montage_MultiContext_Workspaces__52_5-55.md,Montage — Multi‑Context Workspaces,52.5,55.0,2.5,"","ui_select_tick@0.6","dissolve@0.2","cut_to_logo@0.1"
21,21_Closing_Logo_Reveal__55-57.md,Closing — Logo Reveal,55.0,57.0,2.0,"Nikatam.","rising_whoosh@55.4","straight_cut@0.0","hold@0.3"
22,22_Closing_Tagline_Waitlist_Fade__57-60.md,Closing — Tagline & Waitlist,57.0,60.0,3.0,"Coming soon to your neighbourhood.","ui_sparkle_subtle@57.5","hold@0.0","fade_to_black@0.3"

